WD13CD,Ward name,Borough name,Open Space,Local Parks,District Parks,Metropolitan Parks,Regional Parks,Percentage of households with access to:
E05000388,Earl's Court,Kensington and Chelsea,35.2,44.0,65.9,100.0,10.3,
E05000389,Golborne,Kensington and Chelsea,67.5,97.3,0.0,100.0,0.0,
E05000390,Hans Town,Kensington and Chelsea,55.2,92.4,4.8,100.0,0.0,
E05000391,Holland,Kensington and Chelsea,48.1,85.2,100.0,95.7,0.0,
E05000392,Norland,Kensington and Chelsea,68.8,98.6,76.3,100.0,0.0,
E05000393,Notting Barns,Kensington and Chelsea,80.9,99.4,0.1,100.0,0.0,
E05000394,Pembridge,Kensington and Chelsea,38.8,51.2,91.5,100.0,0.0,
E05000395,Queen's Gate,Kensington and Chelsea,32.9,96.6,19.8,100.0,0.0,
E05000396,Redcliffe,Kensington and Chelsea,75.1,83.3,2.4,100.0,26.3,
E05000397,Royal Hospital,Kensington and Chelsea,52.9,96.7,0.0,100.0,0.0,
E05000398,St. Charles,Kensington and Chelsea,71.5,99.2,0.0,100.0,0.0,
E05000399,Stanley,Kensington and Chelsea,47.4,68.7,0.0,100.0,35.8,
E05000400,Alexandra,Kingston upon Thames,43.4,20.5,0.0,0.0,20.5,
E05000401,Berrylands,Kingston upon Thames,23.7,31.2,0.0,0.0,100.0,
E05000402,Beverley,Kingston upon Thames,2.5,34.4,0.0,0.0,100.0,
E05000403,Canbury,Kingston upon Thames,10.4,24.7,3.9,98.3,100.0,
E05000404,Chessington North and Hook,Kingston upon Thames,24.2,31.4,0.0,73.1,0.0,
E05000405,Chessington South,Kingston upon Thames,68.5,49.8,0.0,83.9,0.0,
E05000406,Coombe Hill,Kingston upon Thames,54.3,16.4,0.0,1.3,100.0,
E05000407,Coombe Vale,Kingston upon Thames,28.7,15.4,0.0,0.0,100.0,
E05000408,Grove,Kingston upon Thames,81.0,27.7,0.0,98.5,100.0,
E05000409,Norbiton,Kingston upon Thames,74.8,29.5,0.0,74.1,100.0,
E05000410,Old Malden,Kingston upon Thames,54.5,30.7,97.0,3.9,12.4,
E05000411,St. James,Kingston upon Thames,6.4,5.8,49.9,0.0,98.3,
E05000412,St. Mark's,Kingston upon Thames,26.7,20.4,0.0,24.7,100.0,
E05000413,Surbiton Hill,Kingston upon Thames,30.2,19.9,0.0,0.0,66.9,
E05000414,Tolworth and Hook Rise,Kingston upon Thames,10.8,19.7,0.0,7.3,6.1,
E05000415,Tudor,Kingston upon Thames,72.8,44.1,73.3,88.7,100.0,
E05000416,Bishop's,Lambeth,96.7,70.2,18.5,0.0,0.0,
E05000417,Brixton Hill,Lambeth,83.2,61.4,51.5,100.0,0.0,
E05000418,Clapham Common,Lambeth,89.3,0.0,0.0,100.0,0.0,
E05000419,Clapham Town,Lambeth,66.9,33.3,0.0,100.0,0.0,
E05000420,Coldharbour,Lambeth,95.8,58.0,36.3,39.7,0.0,
E05000421,Ferndale,Lambeth,98.2,36.2,3.3,98.3,0.0,
E05000422,Gipsy Hill,Lambeth,97.8,59.1,0.0,96.9,0.0,
E05000423,Herne Hill,Lambeth,44.1,25.8,50.5,0.6,0.0,
E05000424,Knight's Hill,Lambeth,79.1,51.1,52.1,70.8,0.0,
E05000425,Larkhall,Lambeth,98.6,51.9,0.0,100.0,0.0,
E05000426,Oval,Lambeth,95.9,80.7,0.1,36.2,0.0,
E05000427,Prince's,Lambeth,98.9,63.5,0.0,0.2,0.0,
E05000428,St. Leonard's,Lambeth,52.4,43.4,66.6,100.0,0.0,
E05000429,Stockwell,Lambeth,93.6,86.5,0.0,83.0,0.0,
E05000430,Streatham Hill,Lambeth,85.4,22.8,12.9,100.0,0.0,
E05000431,Streatham South,Lambeth,29.2,38.6,76.1,98.3,0.0,
E05000432,Streatham Wells,Lambeth,64.7,8.9,57.9,100.0,0.0,
E05000433,Thornton,Lambeth,86.1,3.8,0.0,100.0,0.0,
E05000434,Thurlow Park,Lambeth,66.0,25.0,64.8,7.9,0.0,
E05000435,Tulse Hill,Lambeth,94.1,40.2,100.0,75.9,0.0,
E05000436,Vassall,Lambeth,95.1,90.0,18.9,10.2,0.0,
E05000437,Bellingham,Lewisham,65.9,39.4,7.5,81.5,0.0,
